text,label,symptoms,growth_stage,environment,facility,province
棚内湿度高，叶背先出现霉斑，叶面发黄,叶霉病,霉斑 发黄,VEGETATIVE,高湿,温室,内蒙古
叶片背面有褐色霉层，叶面黄化,叶霉病,霉斑 褐斑 发黄,FRUIT_SET,高湿,温室,吉林
湿气大，叶背霉层厚，叶面黄斑多,叶霉病,霉斑 黄斑,FRUIT_SET,高湿,温室,黑龙江
叶面黄斑不规则，背面相应位置长霉,叶霉病,黄斑 霉斑,VEGETATIVE,高湿,温室,陕西
叶片背面有灰黑色霉，叶面褪绿,叶霉病,霉斑 失绿,FLOWERING,高湿,温室,甘肃
中下部叶片叶背有霉，叶面黄化严重,叶霉病,霉斑 发黄,VEGETATIVE,高湿,温室,青海
叶片正面黄斑且背部对应位置有发霉,叶霉病,黄斑 霉斑,FRUIT_SET,结露严重,温室,山东
叶背像长了一层霉，正面还有黄色斑块,叶霉病,霉斑 黄斑,FRUIT_SET,高湿,温室,山东
棚里湿气大时，叶子背后会发霉，正面变黄,叶霉病,霉斑 发黄,VEGETATIVE,高湿,温室,河北
叶片反面有灰绿色霉层，正面看着发黄,叶霉病,霉斑 黄斑,FRUIT_SET,结露严重,温室,辽宁
叶背霉斑很多，叶面对应的位置黄黄的,叶霉病,霉斑 黄斑,VEGETATIVE,高湿,温室,吉林
下边老叶背后先发霉，之后叶面发黄,叶霉病,霉斑 发黄,FRUIT_SET,通风差,温室,黑龙江
叶片背面有一层发霉样的东西，叶面失绿发黄,叶霉病,霉斑 失绿 发黄,FLOWERING,高湿,温室,陕西
棚内潮的时候，叶背褐绿色霉层特别明显,叶霉病,霉斑 褐斑,VEGETATIVE,高湿,温室,甘肃
叶片正面黄斑不少，背后对应位置都发霉了,叶霉病,黄斑 霉斑,FRUIT_SET,高湿,温室,青海
叶子上密密麻麻小黑点，旁边还有黄边,细菌性斑点病,斑点 黄晕,VEGETATIVE,潮湿,温室,浙江
叶片很多细小黑褐斑，周围一圈发黄,细菌性斑点病,斑点 黄晕,FLOWERING,高湿,露地,江苏
小黑点特别多，边缘黄黄的，看着很密,细菌性斑点病,斑点 黄晕,VEGETATIVE,雨后潮湿,露地,安徽
果附近叶片起了不少小黑斑，外头有黄圈,细菌性斑点病,斑点 黄晕,FRUIT_SET,潮湿,温室,上海
叶子上是那种细小黑点，不大但一堆堆的,细菌性斑点病,斑点,VEGETATIVE,高湿,温室,福建
病斑小而黑，周围有黄晕，慢慢变多,细菌性斑点病,斑点 黄晕 扩展,VEGETATIVE,高湿,露地,江西
新叶上也开始起小黑点，边缘微黄,细菌性斑点病,斑点 黄晕,SEEDLING,潮湿,温室,山东
叶片布满小黑褐斑，看着像很多针尖点,细菌性斑点病,斑点 黄晕,VEGETATIVE,高湿,露地,河南
叶片有小黑色斑点并伴黄晕,细菌性斑点病,斑点 黄晕,VEGETATIVE,潮湿,温室,江苏
叶片有很多针尖大小黑褐斑周围带黄晕,细菌性斑点病,斑点 黄晕,VEGETATIVE,潮湿,温室,浙江
叶片散布小黑点并伴局部发黄,细菌性斑点病,斑点 发黄 黄晕,FLOWERING,高湿,露地,江苏
果附近叶片出现小褐斑边缘黄色,细菌性斑点病,斑点 黄晕,FRUIT_SET,雨后潮湿,温室,上海
叶面黑色细小病点较多且逐渐扩展,细菌性斑点病,斑点 扩展,VEGETATIVE,潮湿闷热,露地,安徽
叶片褐黑色小斑密集分布并有黄边,细菌性斑点病,斑点 黄晕,VEGETATIVE,高湿,温室,江苏
小黑点密集，每个点周围有黄晕,细菌性斑点病,斑点 黄晕,FLOWERING,高湿,温室,浙江
病斑黑色，带黄边，逐渐扩大,细菌性斑点病,斑点 黄晕 扩展,VEGETATIVE,雨后,露地,安徽
果实附近叶片出现小黑斑，有黄晕,细菌性斑点病,斑点 黄晕,FRUIT_SET,潮湿,温室,上海
叶片散布黑褐色小斑点，晕圈黄色,细菌性斑点病,斑点 黄晕,VEGETATIVE,高湿,露地,福建
小黑点周围黄晕明显，斑点不扩大太多,细菌性斑点病,斑点 黄晕,VEGETATIVE,潮湿,露地,江西
新叶也有小黑点，黄晕包围,细菌性斑点病,斑点 黄晕,SEEDLING,高湿,温室,山东
老叶上斑点更多，黄晕连成片,细菌性斑点病,斑点 黄晕 扩展,VEGETATIVE,潮湿,露地,河南
叶片出现灰白小圆斑后期穿孔,叶斑病,圆斑 穿孔,FLOWERING,潮湿,露地,四川
叶片先出现灰白色小圆斑后中央干枯,叶斑病,圆斑 灰白 斑点,FLOWERING,潮湿,露地,四川
叶片上有较圆的斑点中间颜色变浅后期易穿孔,叶斑病,圆斑 穿孔,VEGETATIVE,潮湿,露地,重庆
叶片上有许多浅灰色小斑点边缘较深,叶斑病,圆斑 斑点,FRUIT_SET,雨后高湿,露地,湖北
小圆斑逐渐增多并出现穿孔现象,叶斑病,圆斑 穿孔,VEGETATIVE,潮湿,温室,河南
圆斑增多，穿孔连片，叶片早衰,叶斑病,圆斑 穿孔 发黄,FRUIT_SET,湿热,露地,甘肃
叶面有灰白色圆形斑点，穿孔明显,叶斑病,圆斑 穿孔,VEGETATIVE,潮湿,温室,青海
圆斑边缘褐色，中央灰白，穿孔,叶斑病,圆斑 穿孔,FLOWERING,潮湿,露地,宁夏
小圆斑灰白色，后期中心脱落成孔,叶斑病,圆斑 穿孔,FRUIT_SET,高湿,温室,新疆
叶片上灰白圆斑，穿孔后叶子像筛子,叶斑病,圆斑 穿孔,VEGETATIVE,潮湿,露地,内蒙古
圆斑病，叶片出现灰白色圆点，后穿孔,叶斑病,圆斑 穿孔,VEGETATIVE,潮湿,露地,黑龙江
叶面密布灰白小斑后期叶片发黄早衰,叶斑病,圆斑 发黄,FRUIT_SET,湿热,露地,湖南
叶片起了很多灰白色小圆点，后面中间会破,叶斑病,圆斑 灰白 穿孔,FLOWERING,潮湿,露地,四川
小圆斑一开始灰白色，后期容易穿孔,叶斑病,圆斑 穿孔,VEGETATIVE,潮湿,露地,重庆
叶子上的小斑点比较圆，中间颜色浅，后来破洞,叶斑病,圆斑 穿孔,FRUIT_SET,高湿,露地,湖北
叶面有不少灰白色圆斑，越往后越像筛子,叶斑病,圆斑 灰白 穿孔,VEGETATIVE,潮湿,温室,河南
圆形病斑很多，中心发白，后面脱落成孔,叶斑病,圆斑 穿孔,FRUIT_SET,湿热,露地,湖南
叶片小圆斑越来越多，中间干掉以后穿孔,叶斑病,圆斑 穿孔,VEGETATIVE,潮湿,露地,甘肃
灰白色圆斑边缘深一点，后面中间烂掉成洞,叶斑病,圆斑 灰白 穿孔,FLOWERING,潮湿,露地,宁夏
叶面圆点灰白色，后面穿孔，叶子发黄变老,叶斑病,圆斑 穿孔 发黄,FRUIT_SET,高湿,温室,新疆
叶背很多细小虫点，叶片颜色慢慢变淡,蜘蛛螨,虫点 失绿,VEGETATIVE,干热,温室,新疆
叶片发黄发灰，翻过来背后全是小虫点,蜘蛛螨,发黄 虫点 失绿,VEGETATIVE,高温干燥,阳台,宁夏
叶背能看到密密麻麻的小点，叶子慢慢干掉,蜘蛛螨,虫点 失绿 枯黄,FRUIT_SET,干热,露地,甘肃
叶片像被吸干了，背后有很多细虫点,蜘蛛螨,虫点 失绿,VEGETATIVE,干燥闷热,温室,青海
叶子颜色发白发灰，背面还有虫网和虫点,蜘蛛螨,虫点 失绿 虫网,VEGETATIVE,高温,露地,陕西
中下部叶片先失绿，背后小虫点越来越多,蜘蛛螨,失绿 虫点,VEGETATIVE,干热,温室,新疆
叶背有红蜘蛛和虫点，叶片发黄干枯,蜘蛛螨,虫点 发黄 枯黄,FRUIT_SET,高温干燥,露地,西藏
叶片背后虫点密，正面看着颜色变浅发黄,蜘蛛螨,虫点 发黄 失绿,VEGETATIVE,干热,温室,内蒙古
叶片背面有细小虫点并失绿,蜘蛛螨,失绿 斑点,VEGETATIVE,干热,温室,新疆
叶片背面有密集细小虫点并发黄失绿,蜘蛛螨,虫点 失绿 发黄,VEGETATIVE,干热,温室,新疆
叶背可见细微取食点叶面发灰发黄,蜘蛛螨,虫点 发黄,VEGETATIVE,高温干燥,阳台,宁夏
叶片颜色变淡且背面有密集小点状虫害,蜘蛛螨,失绿 虫点,FRUIT_SET,干燥闷热,温室,甘肃
叶背虫点明显叶片逐渐失绿并干枯,蜘蛛螨,虫点 失绿 枯黄,VEGETATIVE,干热,露地,新疆
叶背有红蜘蛛，叶片颜色变淡,蜘蛛螨,失绿 虫点,VEGETATIVE,高温干燥,露地,甘肃
叶片失绿，背面有密集虫点,蜘蛛螨,失绿 虫点,FRUIT_SET,干燥闷热,温室,宁夏
植株中下部叶片发黄，背面有虫网和虫点,蜘蛛螨,发黄 虫点 虫网,VEGETATIVE,干热,露地,青海
叶片背面虫点多，正面失绿变白,蜘蛛螨,虫点 失绿,VEGETATIVE,高温,温室,陕西
红蜘蛛危害，叶背虫点密布，叶片干枯,蜘蛛螨,虫点 失绿 枯黄,FRUIT_SET,干热,露地,新疆
叶面出现黄白色小点，背面有虫,蜘蛛螨,失绿 虫点,VEGETATIVE,高温,温室,西藏
植株叶片发黄发灰背面有细小活动虫点,蜘蛛螨,发黄 虫点,SEEDLING,高温干燥,温室,内蒙古
叶片靶心状斑点边缘清晰,靶斑病,靶斑 轮纹,FRUIT_SET,高湿,温室,福建
叶片出现靶心状圆斑边界清楚,靶斑病,靶斑 轮纹,FRUIT_SET,高湿,温室,福建
病斑呈同心靶纹中间较深四周较浅,靶斑病,靶斑 轮纹 褐斑,FLOWERING,湿热,露地,广东
叶面圆形病斑像靶子一样层层扩展,靶斑病,靶斑 圆斑,FRUIT_SET,高湿,温室,广西
叶片褐色病斑带明显靶心纹理,靶斑病,靶斑 褐斑,VEGETATIVE,闷热潮湿,温室,福建
病斑边缘整齐且中央有明显轮纹靶斑,靶斑病,靶斑 轮纹,FRUIT_SET,高湿,露地,广东
叶面有靶心状斑点，周围有黄晕,靶斑病,靶斑 黄晕,FRUIT_SET,高湿,温室,江西
病斑同心轮纹，中央褐色，边缘浅,靶斑病,靶斑 轮纹 褐斑,VEGETATIVE,高湿,露地,安徽
靶斑病，叶片上的圆斑一圈一圈的,靶斑病,靶斑 轮纹,FRUIT_SET,高湿,温室,江苏
叶片褐色病斑，有靶心轮纹，不穿孔,靶斑病,靶斑 褐斑 轮纹,VEGETATIVE,高湿,温室,浙江
病斑呈靶心状，轮纹清晰，易识别,靶斑病,靶斑 轮纹,FRUIT_SET,高湿,露地,上海
叶面出现圆形靶斑，有同心轮纹,靶斑病,靶斑 轮纹,VEGETATIVE,高湿,温室,山东
叶片上长出靶心一样的圆斑，纹路很明显,靶斑病,靶斑 轮纹,FRUIT_SET,高湿,温室,福建
斑点像个小靶子，一圈一圈很清楚,靶斑病,靶斑 轮纹,VEGETATIVE,高湿,露地,广东
病斑中央颜色深，外围一圈圈比较浅,靶斑病,靶斑 轮纹 褐斑,FLOWERING,湿热,露地,广西
叶面圆斑很像靶心，中间深外面浅,靶斑病,靶斑 圆斑 褐斑,FRUIT_SET,高湿,温室,江西
叶片褐色病斑有明显靶纹，不容易穿孔,靶斑病,靶斑 褐斑 轮纹,VEGETATIVE,闷热潮湿,温室,安徽
病斑同心轮纹明显，圆圆的像靶子,靶斑病,靶斑 轮纹,FRUIT_SET,高湿,露地,江苏
叶面出现圆形靶斑，中间更黑一些,靶斑病,靶斑 圆斑 褐斑,VEGETATIVE,高湿,温室,浙江
靶斑一圈一圈扩开，边界比较整齐,靶斑病,靶斑 轮纹 扩展,FRUIT_SET,高湿,露地,上海
叶片一块深一块浅，像花叶一样还皱皱的,花叶病毒病,花叶 斑驳 皱缩,VEGETATIVE,温暖,露地,广西
叶子颜色不均匀，黄绿相间，还有点变形,花叶病毒病,花叶 斑驳 畸形,FLOWERING,温暖,温室,海南
新叶有花纹一样的斑驳，看着不平整,花叶病毒病,花叶 斑驳 畸形,SEEDLING,温暖,阳台,福建
叶片花花绿绿的，深浅不一，边缘轻微卷,花叶病毒病,花叶 斑驳 卷曲,VEGETATIVE,温暖,露地,广东
叶面斑驳很明显，整片叶子还有点皱缩,花叶病毒病,花叶 斑驳 皱缩,VEGETATIVE,温暖,温室,河南
花叶状斑纹明显，叶片还有点畸形，不太长,花叶病毒病,花叶 斑驳 畸形 生长缓慢,VEGETATIVE,温暖,露地,山东
叶子深浅绿相间，皱巴巴的，还有些卷边,花叶病毒病,花叶 斑驳 卷曲 皱缩,VEGETATIVE,温暖,露地,山西
新叶花叶斑驳，叶型不整齐，长势偏弱,花叶病毒病,花叶 斑驳 畸形 生长缓慢,SEEDLING,温暖,温室,陕西
叶片花叶斑驳并轻度畸形,花叶病毒病,花叶 斑驳,VEGETATIVE,温暖,露地,广西
叶片出现花叶状斑驳并轻微皱缩,花叶病毒病,花叶 斑驳,VEGETATIVE,温暖,露地,广西
叶面深浅绿相间呈花叶状且叶片畸形,花叶病毒病,花叶 斑驳 畸形,FLOWERING,温暖,温室,海南
叶片斑驳不均并伴轻微卷缩变形,花叶病毒病,花叶 畸形 卷曲,VEGETATIVE,虫媒活跃,露地,广东
叶片花叶明显且植株整体长势受影响,花叶病毒病,花叶 斑驳 生长缓慢,SEEDLING,温暖,阳台,广西
新叶出现花叶斑纹并逐渐形状怪异,花叶病毒病,花叶 畸形,VEGETATIVE,温暖,温室,福建
叶面斑驳不均，绿色深浅不一，叶脉透明,花叶病毒病,花叶 斑驳,VEGETATIVE,温暖,露地,河南
花叶病，叶片黄绿相间，变形,花叶病毒病,花叶 斑驳 畸形,VEGETATIVE,温暖,露地,山东
叶片花叶斑驳，叶缘上卷,花叶病毒病,花叶 斑驳 卷曲,VEGETATIVE,温暖,温室,山西
新叶花叶皱缩，生长缓慢,花叶病毒病,花叶 皱缩 生长缓慢,SEEDLING,温暖,温室,陕西
花叶病毒，叶片斑驳，畸形，不长,花叶病毒病,花叶 斑驳 畸形 生长缓慢,VEGETATIVE,温暖,露地,甘肃
叶片花叶斑驳，黄绿相间，轻微皱缩,花叶病毒病,花叶 斑驳 皱缩,VEGETATIVE,温暖,露地,广西
